Date,Name,Year,Letterboxd URI,Rating
2023-07-13,The Batman,2022,https://boxd.it/eDGs,3
2023-07-13,The Dark Knight,2008,https://boxd.it/2b0k,4.5
2023-07-13,The Menu,2022,https://boxd.it/lScm,3
2023-07-13,American Psycho,2000,https://boxd.it/28Vs,4
2023-07-13,Glass Onion,2022,https://boxd.it/oCkK,2.5
2023-07-13,Django Unchained,2012,https://boxd.it/2cCk,5
2023-07-13,The Godfather,1972,https://boxd.it/2aNK,5
2023-07-13,Taxi Driver,1976,https://boxd.it/2b8y,3
2023-07-13,Shutter Island,2010,https://boxd.it/1U82,4
2023-07-13,Don't Look Up,2021,https://boxd.it/o0Hc,2
2023-07-13,The Lord of the Rings: The Fellowship of the Ring,2001,https://boxd.it/2b5O,4
2023-07-13,1917,2019,https://boxd.it/jj4y,4
2023-07-13,Top Gun: Maverick,2022,https://boxd.it/cjr4,3
2023-07-13,Titanic,1997,https://boxd.it/2a2k,3
2023-07-13,Avatar,2009,https://boxd.it/1Efm,3
2023-07-13,Tenet,2020,https://boxd.it/leq4,2.5
2023-07-13,Memento,2000,https://boxd.it/2bcK,3.5
2023-07-13,The Lord of the Rings: The Return of the King,2003,https://boxd.it/2b5u,4
2023-07-13,The Lord of the Rings: The Two Towers,2002,https://boxd.it/2b5E,4
2023-07-13,Parasite,2019,https://boxd.it/hco0,5
2023-07-13,Inglourious Basterds,2009,https://boxd.it/29im,4.5
2023-07-13,No Country for Old Men,2007,https://boxd.it/2aPW,4.5
2023-07-13,There Will Be Blood,2007,https://boxd.it/2aMW,4
2023-07-13,Drive,2011,https://boxd.it/1fxG,4.5
2023-07-13,Heat,1995,https://boxd.it/29Pw,4
2023-07-13,Blade Runner 2049,2017,https://boxd.it/drMu,4
2023-07-13,Arrival,2016,https://boxd.it/b9So,4
2023-07-13,Interstellar,2014,https://boxd.it/bRsW,3.5
2023-07-13,Mad Max: Fury Road,2015,https://boxd.it/6Hro,4
2023-07-13,The Revenant,2015,https://boxd.it/9dRe,3
